Date,Region,Sales Rep,Customer,Product,COGS,Sales
6/7/2006,MidWest,Jon,Nature Company,QDA Item,"$5,395.13 ","$9,809.32 "
5/18/2006,MidWest,Chin,The Economist,PGQ Item,"$8,649.28 ","$9,250.57 "
5/6/2006,MidWest,Luke,McLendon's Hardware,WAJ Item,"$3,172.06 ","$8,573.14 "
4/25/2006,MidWest,Rhonda,ExcelIsVeryFun.com,WSQ Item,"$8,333.41 ","$8,912.74 "
4/3/2006,MidWest,Luke,Costco,SLL Item,"$8,792.47 ","$9,991.44 "
3/24/2006,MidWest,Sheliadawn,Whole Foods,JGD Item,"$5,628.87 ","$8,277.75 "
3/21/2006,MidWest,Jeri,Peet's Coffee,JOG Item,"$4,823.69 ","$8,770.34 "
3/19/2006,MidWest,Troung,The Economist,KFB Item,"$4,976.28 ","$8,434.37 "
3/12/2006,MidWest,Chin,Google,DXU Item,"$3,445.13 ","$9,311.16 "
3/1/2006,MidWest,Luke,Whole Foods,YNQ Item,"$3,185.71 ","$8,610.02 "
2/28/2006,MidWest,Rhonda,McLendon's Hardware,NEN Item,"$8,702.34 ","$9,889.02 "
2/6/2006,MidWest,Sheliadawn,Sherman Williams,TEY Item,"$4,349.05 ","$9,664.55 "
2/4/2006,MidWest,Jon,Nature Company,BVN Item,"$4,114.41 ","$9,568.39 "
1/18/2006,MidWest,Chin,Nature Company,JQL Item,"$3,651.71 ","$8,492.35 "
1/6/2006,MidWest,Rhonda,Amazon.com,ADY Item,"$8,498.82 ","$9,089.65 "
1/5/2006,MidWest,Jeri,Sherman Williams,YWG Item,"$5,672.01 ","$9,613.58 "
12/22/2005,MidWest,Luke,McLendon's Hardware,TGY Item,"$4,847.26 ","$8,215.70 "
12/18/2005,MidWest,Chin,Office Depot,GCU Item,"$4,920.12 ","$8,482.97 "
12/9/2005,MidWest,Rhonda,Costco,XYL Item,"$6,619.09 ","$9,733.95 "
11/25/2005,MidWest,Jeri,McLendon's Hardware,PHE Item,"$4,280.79 ","$9,955.32 "
11/24/2005,MidWest,Jon,Home Depot,TQM Item,"$8,476.72 ","$9,632.64 "
11/5/2005,MidWest,Chin,Google,FTH Item,"$7,261.47 ","$8,251.67 "
10/4/2005,MidWest,Jon,Amazon.com,ULS Item,"$3,640.32 ","$9,838.69 "
10/3/2005,MidWest,Troung,McLendon's Hardware,EVO Item,"$9,189.78 ","$9,828.64 "
10/2/2005,MidWest,Chin,Home Depot,KNW Item,"$4,428.51 ","$8,051.84 "
9/23/2005,MidWest,Sheliadawn,Google,NWF Item,"$4,440.52 ","$8,073.67 "
9/22/2005,MidWest,Luke,Solar and Wind Inc.,GWW Item,"$7,160.50 ","$8,136.93 "
8/8/2005,MidWest,Luke,ExcelIsVeryFun.com,BDX Item,"$5,623.76 ","$9,531.80 "
7/22/2005,MidWest,Jon,Sherman Williams,GVW Item,"$3,982.41 ","$9,261.43 "
7/21/2005,MidWest,Luke,Peet's Coffee,CYD Item,"$7,044.34 ","$9,392.45 "
7/13/2005,MidWest,Troung,Peet's Coffee,KZK Item,"$6,877.98 ","$9,170.64 "
7/12/2005,MidWest,Troung,Yahoo,JUR Item,"$3,653.87 ","$9,875.32 "
7/10/2005,MidWest,Rhonda,Office Depot,FPF Item,"$3,381.07 ","$9,138.04 "
7/1/2005,MidWest,Troung,Yahoo,STL Item,"$7,429.13 ","$8,442.19 "
6/18/2005,MidWest,Sheliadawn,Yahoo,MDV Item,"$4,302.01 ","$9,560.02 "
6/9/2005,MidWest,Steven,Home Depot,YKF Item,"$5,771.00 ","$9,950.00 "
6/3/2005,MidWest,Steven,ExcelIsVeryFun.com,DWQ Item,"$4,050.46 ","$9,419.67 "
6/3/2005,MidWest,Luke,Solar and Wind Inc.,UOE Item,"$6,306.47 ","$8,408.63 "
5/22/2005,MidWest,Rhonda,Amazon.com,GFK Item,"$6,011.22 ","$8,840.03 "
5/4/2005,MidWest,Luke,Sherman Williams,SZM Item,"$6,407.71 ","$9,423.11 "
4/20/2005,MidWest,Sheliadawn,Costco,TBQ Item,"$3,970.29 ","$9,233.24 "
3/28/2005,MidWest,Jon,Home Depot,MSH Item,"$5,369.48 ","$9,762.69 "
3/10/2005,MidWest,Chin,Costco,OOD Item,"$6,587.55 ","$8,783.40 "
2/22/2005,MidWest,Troung,Office Depot,BQW Item,"$7,872.32 ","$8,945.82 "
1/29/2005,MidWest,Steven,Home Depot,SXT Item,"$7,371.44 ","$9,828.59 "
1/21/2005,MidWest,Luke,Whole Foods,NSN Item,"$8,615.62 ","$9,790.48 "
1/20/2005,MidWest,Sheliadawn,Peet's Coffee,FKF Item,"$3,166.77 ","$8,558.84 "
1/13/2005,MidWest,Troung,The Economist,KHM Item,"$5,046.58 ","$8,553.53 "
1/12/2005,MidWest,Jon,Solar and Wind Inc.,UDH Item,"$6,619.97 ","$9,735.25 "
1/4/2005,MidWest,Jon,Home Depot,BKL Item,"$3,442.17 ","$8,005.05 "
12/27/2004,MidWest,Luke,Solar and Wind Inc.,ZFB Item,"$3,396.25 ","$9,179.05 "
12/25/2004,MidWest,Jon,Yahoo,FLS Item,"$3,664.68 ","$8,143.73 "
12/20/2004,MidWest,Sheliadawn,Amazon.com,ZON Item,"$4,999.88 ","$8,474.38 "
12/20/2004,MidWest,Jon,Amazon.com,TOG Item,"$3,589.22 ","$8,347.03 "
12/16/2004,MidWest,Jeri,Amazon.com,LII Item,"$7,221.70 ","$8,206.48 "
12/9/2004,MidWest,Sheliadawn,McLendon's Hardware,VQN Item,"$6,029.99 ","$8,039.98 "
12/7/2004,MidWest,Sheliadawn,The Economist,KTU Item,"$3,649.08 ","$8,109.06 "
11/12/2004,MidWest,Chin,Solar and Wind Inc.,PET Item,"$3,504.65 ","$8,150.36 "
10/31/2004,MidWest,Troung,Peet's Coffee,FPU Item,"$7,841.64 ","$8,910.96 "
10/18/2004,MidWest,Luke,The Economist,MZS Item,"$8,929.90 ","$9,550.70 "
9/30/2004,MidWest,Chin,Office Depot,KYB Item,"$3,236.73 ","$8,747.93 "
9/7/2004,MidWest,Chin,Office Depot,CVM Item,"$7,884.27 ","$8,432.37 "
8/8/2004,MidWest,Troung,Costco,SPK Item,"$7,632.07 ","$8,162.64 "
7/25/2004,MidWest,Chin,Yahoo,CVQ Item,"$7,400.68 ","$9,867.57 "
7/10/2004,MidWest,Luke,McLendon's Hardware,YOU Item,"$5,100.55 ","$9,273.73 "
6/17/2004,MidWest,Chin,ExcelIsVeryFun.com,MWN Item,"$6,305.00 ","$9,272.06 "
6/8/2006,MidWest,Sheliadawn,Sherman Williams,GWD Item,"$4,651.70 ","$7,884.24 "
5/18/2006,MidWest,Troung,McLendon's Hardware,RRT Item,"$2,442.52 ","$6,601.40 "
5/16/2006,MidWest,Jeri,Costco,LGL Item,"$4,533.76 ","$6,045.01 "
5/1/2006,MidWest,Jeri,Solar and Wind Inc.,XTG Item,"$5,990.50 ","$7,987.33 "
4/14/2006,MidWest,Jon,Amazon.com,EPL Item,"$6,221.92 ","$6,654.46 "
4/12/2006,MidWest,Troung,Whole Foods,EPK Item,"$5,928.82 ","$7,905.09 "
3/30/2006,MidWest,Jon,Sherman Williams,DYV Item,"$3,133.13 ","$6,962.50 "
3/27/2006,MidWest,Steven,McLendon's Hardware,DPY Item,"$5,943.56 ","$6,754.04 "
3/1/2006,MidWest,Chin,Whole Foods,STR Item,"$4,421.19 ","$7,493.55 "
2/10/2006,MidWest,Chin,McLendon's Hardware,IUD Item,"$3,235.23 ","$7,189.41 "
